country,2004,2005,2006,2007,2008,2009,2010,2011
Austria,0.7743077025522969,0.7278221024770181,0.8419130236274398,0.7950005707111061,0.7892934596507248,0.7685828116107001,0.7204657002625271,0.7537952288551535
Belgium,0.7048258673338343,0.6497737384853286,0.6469581098048168,0.6960392649240954,0.6370277365597534,0.6769493454752419,0.5751626526652208,0.6788037895217441
Bulgaria,1.0798888899458718,1.0332893775673804,1.0841228170300194,1.0081040977057414,0.9865312178975004,1.023562891291975,0.9457824449263784,1.0057071110603812
Croatia,0.9793666346400814,0.9136316633304556,0.998744435566716,0.8844880721378838,0.8780961077502568,0.9289698349459306,0.868622303390024,0.892934596507248
Cyprus,1.5760409432939184,1.6475822747583224,1.5127268576646502,1.4192443784956057,1.3558954457253738,1.4072851451337507,1.3681086633945896,1.3536126013012213
Czechia,0.7387772186337649,0.6824464704152396,0.7291405090743066,0.7269718068713618,0.6888483049880151,0.6772908366533864,0.6403378609747745,0.6854240383517863
Denmark,0.5774964089002197,0.5311121441243157,0.5049651866225316,0.5743636571167675,0.500627782216642,0.5312464428002277,0.4781417646387398,0.5233420842369593
Estonia,0.5295231209748765,0.5301824322401313,0.4707225202602442,0.526766350873188,0.4859034356808583,0.4876494023904382,0.4734619335692273,0.5054217555073621
France,0.931088935607538,0.7983379028356212,0.8186280105010844,0.801392535098733,0.7972834151352586,0.8134319863403529,0.7084807670357265,0.8170300194041776
Germany,0.7223199931507501,0.657600394653208,0.6267549366510672,0.6818856294943499,0.6482136742381007,0.6383608423449061,0.5692272571624244,0.6573450519347106
Iceland,0.4873051055450386,0.4398485897788614,0.5224289464672982,0.4843054445839516,0.4711790891450748,0.4997154240182128,0.5327017463759844,0.5013126355438877
Ireland,0.5539901637160985,0.4968835678167898,0.4598790092455199,0.4811094623901381,0.4561123159456683,0.4821855435401252,0.4795114712932313,0.4951489555986759
Italy,1.1664367728617495,1.1097344629016497,1.1823992694897842,0.9971464444698094,1.0066202488300422,1.0476949345475242,0.9395046227599588,1.0327588174865885
Latvia,0.5450195489007905,0.5333510421311273,0.5163794087432941,0.5672868394018947,0.522200662024883,0.5167899829254411,0.4994863600045657,0.5280219153064719
Lithuania,0.6122848907449511,0.5535580453281977,0.5411482707453487,0.5816687592740555,0.5556443328387171,0.5550369948776324,0.5250542175550736,0.5384088574363657
Malta,1.5569391463171012,1.542354068438179,1.4493779248944183,1.3246204771144847,1.3057870106152265,1.363915765509391,1.2371875356694442,1.312635543887684
Netherlands,0.6509546142064858,0.6094735743627204,0.6145417189818514,0.6423924209565118,0.5952516835977628,0.6185543540125213,0.5444583951603699,0.6322337632690332
Poland,0.7108284738539398,0.6596305818288761,0.626526652208652,0.6720693984704942,0.6325761899326561,0.632896983494593,0.5792717726286953,0.6270973633146901
Portugal,1.451194337953406,1.3815898073219557,1.290149526309782,1.08218239926949,1.1745234562264582,1.142743312464428,1.1163109234105697,1.1091199634744893
Romania,0.9280543373826352,0.8691193351611343,0.938591484990298,0.897500285355553,0.8751284099988585,0.8668184405236198,0.7970551306928433,0.8656546056386257
Slovakia,0.8308045014792477,0.7797816125757763,0.8310695126127154,0.7859833352357037,0.742381006734391,0.7723392145702903,0.7055130692843282,0.7613286154548567
Slovenia,0.8627105906526764,0.8071891394472958,0.8566373701632234,0.7946581440474831,0.7676064376212761,0.8135458167330677,0.7604154776851958,0.7987672640109577
Spain,1.4762987414503286,1.4193380071910369,1.326332610432599,1.131377696609976,1.1901609405319027,1.1526465566306203,1.1084351101472434,1.1612829585663738
Europe,0.8889763886998957,0.8423317537030705,0.843049483134246,0.8068068465481903,0.7853431462558871,0.8007918636014948,0.7466390078559625,0.7929211972030193
